Sentence,ENT1,ENT2,ENT1_Qcode,ENT2_Qcode,Property
Liu Yifei ( boen 1987 ) i akta blong Jaena .,Liu Yifei,akta,Q242676,Q33999,P106
Mikronesia hem i wan kaontri long Pasifik .,Mikronesia,Pasifik,Q702,Q538,P30
Lindsey Olin Graham ( boen 9 Julae 1955 ) i politikis blong Yunaeted Stet blong Amerika .,Lindsey Olin Graham,politikis,Q22212,Q82955,P106
Paris hem i kapital blong Franis .,Paris,Franis,Q90,Q142,P1376
Shefa i provens blong Vanuatu .,Shefa,Vanuatu,Q650617,Q686,P131
Takahiro Miura ( boen 10 Novemba 1985 ) i akta blong Japan .,Takahiro Miura,akta,Q5360024,Q33999,P106
Beijing hem i kapital blong Jaena .,Beijing,Jaena,Q956,Q148,P1376
Gwangju i bigtaon blong saot Koria .,Gwangju,saot Koria,Q41283,Q884,P131
Phoenix hem i kapital blong Arizona .,Phoenix,Arizona,Q16556,Q816,P1376
Markdorf i taon long saot blong Jemani .,Markdorf,Jemani,Q573239,Q183,P17
Hitoshi Ashida ( 15 Novemba 1887 – 20 Jun 1959 ) i praem minista blong Japan .,Hitoshi Ashida,praem minista blong Japan,Q315725,Q274948,P39
Tarō Asō ( boen 20 Septemba 1940 ) i praem minista blong Japan .,Tarō Asō,praem minista blong Japan,Q132596,Q274948,P39
Kanada i wan kaontri blong Not Amerika .,Kanada,Not Amerika,Q16,Q49,P30
Busan i bigtaon blong saot Koria .,Busan,saot Koria,Q16520,Q884,P17
Nobusuke Kishi ( 13 Nov 1896 – 7 Ogis 1987 ) i praem minista blong Japan .,Nobusuke Kishi,praem minista blong Japan,Q315572,Q274948,P39
"Pendulum , hem i miusik grup blong Ostrelia .",Pendulum,Ostrelia,Q20672,Q408,P495
"Zhengzhou hem i kapital blong Henan , Jaena .",Zhengzhou,Henan,Q30340,Q43684,P1376
Takeo Fukuda ( 14 Januware 1905 – 5 Julae 1995 ) i praem minista blong Japan .,Takeo Fukuda,praem minista blong Japan,Q315584,Q274948,P39
Incheon i bigtaon blong Saot Koria .,Incheon,Saot Koria,Q20934,Q884,P131
Sakura Andō ( boen 18 Februari 1986 ) i akta blong Japan .,Sakura Andō,akta,Q1060139,Q33999,P106
"Justice , hem i miusik grup blong Franis .",Justice,Franis,Q329178,Q142,P495
Yoshihiko Noda ( boen 20 Mei 1957 ) i praem minista blong Japan .,Yoshihiko Noda,praem minista blong Japan,Q57647,Q274948,P39
Malampa i provens blong Vanuatu .,Malampa,Vanuatu,Q740656,Q686,P131
Renhō Murata ( boen 1967 ) i politikis blong Japan .,Renhō Murata,politikis,Q465290,Q82955,P106
Bukina Faso i kaontri long Afrika .,Bukina,Afrika,Q965,Q15,P30
Daejeon i bigtaon blong Saot Koria .,Daejeon,Saot Koria,Q20921,Q884,P131
Junichiro Koizumi ( boen 8 Januware 1942 ) i praem minista blong Japan .,Junichiro Koizumi,praem minista blong Japan,Q130852,Q274948,P39
Torba i provens blong Vanuatu .,Torba,Vanuatu,Q822514,Q686,P131
Vilnius i kapital blong Litwania .,Vilnius,Litwania,Q216,Q37,P1376
Łobez i wan taon long Polan .,Łobez,Polan,Q196163,Q36,P17
Masayoshi Ito ( 15 Desemba 1913 – 21 Mei 1994 ) em i politikis blong Japan .,Masayoshi Ito,politikis,Q744989,Q82955,P106
Korin i stap taon blong Gris .,Korin,Gris,Q103011,Q41,P17
"Berlin , hem i kapitol blong Jemani .",Berlin,Jemani,Q64,Q183,P1376
Ulsan i bigtaon blong saot Koria .,Ulsan,saot Koria,Q41278,Q884,P131
Trenton hem i kapital blong Niu Yersey .,Trenton,Niu Yersey,Q25330,Q1408,P1376
Namibia i kaontri long Afrika .,Namibia,Afrika,Q1030,Q15,P30
Bangkok hem i kapital blong Taelan .,Bangkok,Taelan,Q1861,Q869,P1376
Fiji hem i wan kaontri long Pasifik .,Fiji,Pasifik,Q712,Q538,P30
Somkid Jatusripitak ( bon long yia 1958 ) i politikis blong Taelan .,Somkid Jatusripitak,politikis,Q4922374,Q82955,P106
Takeo Miki ( 17 Maj 1907 – 14 Novemba 1988 ) i praem minista blong Japan .,Takeo Miki,praem minista blong Japan,Q317675,Q274948,P39
Solomon Aelan i kaontri long Pasifik .,Solomon Aelan,Pasifik,Q685,Q538,P30
Alexander Hamilton ( 1757 - 1804 ) i politikis blong Yunaeted Stet blong Amerika .,Alexander Hamilton,politikis,Q178903,Q82955,P106
Rwanda i kaontri long Afrika .,Rwanda,Afrika,Q1037,Q15,P30
Isangel hem i kapital blong Tafea .,Isangel,Tafea,Q1070178,Q576417,P1376
Penama i provens blong Vanuatu .,Penama,Vanuatu,Q836649,Q686,P131
Yoshirō Mori ( boen 14 Julae 1937 ) i praem minista blong Japan .,Yoshirō Mori,praem minista blong Japan,Q233499,Q274948,P39
"Hoobastank , hem i miusik grup blong Yunaeted Stet blong Amerika .",Hoobastank,blong Yunaeted Stet blong Amerika,Q49724,Q30,P495
Kaoru Yosano ( 22 Ogis 1938 – 23 Mei 2017 ) em i politikis blong Japan .,Kaoru Yosano,politikis,Q1156675,Q82955,P106
Banglades i kaontri long Esia .,Banglades,Esia,Q902,Q48,P30
Kunio Hatoyama ( 1948 - 2016 ) i politikis blong Japan .,Kunio Hatoyama,politikis,Q777936,Q82955,P106
Gérard Philipe ( 1922 - 1959 ) i akta blong Franis .,Gérard Philipe,akta,Q150662,Q33999,P106
James Maitland Stewart ( 20 Mei 1908 – 2 Julae 1997 ) i akta blong Yunaeted Stet blong Amerika .,James Maitland Stewart,akta,Q102462,Q33999,P106
"Benedicta Boccoli ( bon long Milan long 11 Novemba 1966 ) , em i akta blong Itali .",Benedicta Boccoli,akta,Q2448709,Q33999,P106
Tafea i provens blong Vanuatu .,Tafea,Vanuatu,Q576417,Q686,P131
Pierre hem i kapital blong Saut Dakota .,Pierre,Saut Dakota,Q40747,Q1211,P1376
Port Moresby hem i kapital blong Papua Niugini .,Port Moresby,Papua Niugini,Q36526,Q691,P1376
Jojia i kaontri long Esia .,Jojia,Esia,Q230,Q48,P30
Jean - Alfred Villain - Marais ( 1913 - 1998 ) i akta blong Franis .,Jean - Alfred Villain - Marais,akta,Q168359,Q33999,P106
Bette Midler ( boen 1 Desemba 1945 ) i akta blong Yunaeted Stet blong Amerika .,Bette Midler,akta,Q190631,Q10800557,P106
Jirō Hatoyama ( boen 1979 ) i politikis blong Japan .,Jirō Hatoyama,politikis,Q17219387,Q82955,P106
Coreca i taon long saot blong Itali .,Coreca,Itali,Q15220504,Q38,P17
Mongolia i kaontri long Esia .,Mongolia,Esia,Q711,Q48,P30
Yemen i kaontri long Esia .,Yemen,Esia,Q805,Q48,P30
Momoko Okui ( boen 7 Maj 1968 ) i akta blong Japan .,Momoko Okui,akta,Q11445603,Q33999,P106
Sanma hem i provens blong Vanuatu .,Sanma,Vanuatu,Q740640,Q686,P131
William Shatner ( boen 22 Maj 1931 ) em i akta blong Kanada .,William Shatner,akta,Q16297,Q33999,P106
Judy Garland ( 10 Jun 1922 – 22 Jun 1969 ) em i akta blong Yunaeted Stet blong Amerika .,Judy Garland,akta,Q11637,Q33999,P106
Swiselan i kaontri long Yurop .,Swiselan,Yurop,Q39,Q46,P30
Gryfice i wan taon long Polan .,Gryfice,Polan,Q167744,Q36,P17
Nepal i kaontri long Esia .,Nepal,Esia,Q837,Q48,P30
Gambia i kaontri long Afrika .,Gambia,Afrika,Q1005,Q15,P30
Sejong i bigtaon blong saot Koria .,Sejong,saot Koria,Q20929,Q884,P131
Lebanon i kaontri long Esia .,Lebanon,Esia,Q822,Q48,P30
Demi Moore ( boen 11 Novemba 1962 olsem Demetra Gene Guynes ) em i akta blong Yunaeted Stet blong Amerika .,Demi Moore,akta,Q43044,Q33999,P106
Tuvalu i kaontri long Pasifik .,Tuvalu,Pasifik,Q672,Q538,P30
Vienna hem i kapital blong Ostria .,Vienna,Ostria,Q1741,Q40,P1376
Wrocław i wan bigtaon long Polan .,Wrocław,Polan,Q1799,Q36,P17
Filipin i kaontri long Esia .,Filipin,Esia,Q928,Q48,P30
Madrid i kapital blong Spen .,Madrid,Spen,Q2807,Q29,P1376
Springfield hem i kapital blong Illinois .,Springfield,Illinois,Q28515,Q1204,P1376
Kajang Tularak ( 1913 - 2009 ) i politikis blong Taelan .,Kajang Tularak,politikis,Q13012531,Q82955,P106
Jemani i kaontri long Yurop .,Jemani,Yurop,Q183,Q46,P30
Lauren Bacall ( 16 Septemba 1924 – 12 Ogis 2014 ) em i akta blong Yunaeted Stet blong Amerika .,Lauren Bacall,akta,Q104000,Q33999,P106
James Montgomery Doohan ( 1920 - 2005 ) i akta blong Kanada .,James Montgomery Doohan,akta,Q318412,Q33999,P106
Bry - sur - Marne stap taon blong Franis .,Bry - sur - Marne,Franis,Q369954,Q142,P17
Botsuana em i wan kaontri long Afrika .,Botsuana,Afrika,Q963,Q15,P30
Irwin Keyes ( 16 Maj 1952 – 8 Julae 2015 ) em i akta blong Yunaeted Stet blong Amerika .,Irwin Keyes,akta,Q6075068,Q33999,P106
Claudette Colbert ( 13 Septemba 1903 – 30 Julae 1996 ) i akta blong Yunaeted Stet blong Amerika .,Claudette Colbert,akta,Q203819,Q10800557,P106
Gary Cooper ( 7 Mei 1901 – 13 Mei 1961 ) em i akta blong Yunaeted Stet blong Amerika .,Gary Cooper,akta,Q93957,Q33999,P106
Prague hem i kapital blong Jek Ripablik .,Prague,Jek Ripablik,Q1085,Q213,P1376
Yuriko Koike ( boen 15 Julae 1952 ) em i politikis blong Japan .,Yuriko Koike,politikis,Q261703,Q82955,P106
Ryutaro Hashimoto ( 29 Julae 1937 – 1 Julae 2006 ) i praem minista blong Japan .,Ryutaro Hashimoto,praem minista blong Japan,Q309374,Q274948,P39
Bochotnica i wan smol taon long Polan .,Bochotnica,Polan,Q2386011,Q36,P17
Gwangju i bigtaon blong saot Koria .,Gwangju,saot Koria,Q41283,Q884,P17
Jackie Chan ( boen 1954 ) i akta blong Hong Kong .,Jackie Chan,akta,Q36970,Q10800557,P106
Seoul i kapital blong saot Koria .,Seoul,saot Koria,Q8684,Q884,P1376
Benjamin Franklin ( 1706 - 1790 ) i politikis blong Yunaeted Stet blong Amerika .,Benjamin Franklin,politikis,Q34969,Q82955,P106
