Cluster|Property|e1|e2|Sentence
1|P1376|lookup|Lithuania|[[Vilnius]] i kapital blong [[Litwania]].
1|P1376|lookup|lookup|[[Phoenix]] hem i kapital blong [[Arizona]].
1|P1376|lookup|Germany|[[Berlin]], hem i kapitol blong [[Jemani]].
1|P1376|lookup|Papua New Guinea|[[Port Moresby]] hem i kapital blong [[Papua Niugini]].
1|P1376|lookup|Thailand|[[Bangkok]] hem i kapital blong [[Taelan]].
1|P1376|lookup|Czek Republic|[[Prague]] hem i kapital blong [[Jek Ripablik]].
1|P1376|lookup|New Hampshire|[[Concord]] hem i kapital blong [[Niu Hampshire]].
1|P1376|lookup|lookup|[[Springfield]] hem i kapital blong [[Illinois]].
1|P1376|https://en.wikipedia.org/wiki/Isangel|https://en.wikipedia.org/wiki/Tafea_Province|[[Isangel]] hem i kapital blong [[Tafea]].
1|P1376|lookup|China|[[Beijing]] hem i kapital blong [[Jaena]].
1|P1376|https://en.wikipedia.org/wiki/Saratamata|https://en.wikipedia.org/wiki/Penama_Province|[[Saratamata]] hem i kapital blong [[Penama]].
1|P1376|lookup|France|[[Paris]] hem i kapital blong [[Franis]].
1|P1376|lookup|New Jersey|[[Trenton]] hem i kapital blong [[Niu Yersey]].
1|P1376|lookup|Austira|[[Vienna]] hem i kapital blong [[Ostria]].
1|P1376|lookup|Spain|[[Madrid]] i kapital blong [[Spen]].
1|P1376|lookup|South Korea|[[Seoul]] i kapital blong [[saot Koria]].
1|P1376|lookup|Henan|[[Zhengzhou]] hem i kapital blong [[Henan]], Jaena.
1|P1376|lookup|South Dakota|[[Pierre]] hem i kapital blong [[Saut Dakota]].
2|P131|lookup|lookup|[[Tafea]] i provens blong [[Vanuatu]].
2|P131|lookup|lookup|[[Malampa]] i provens blong [[Vanuatu]].
2|P131|lookup|lookup|[[Sanma]] hem i provens blong [[Vanuatu]].
2|P131|lookup|lookup|[[Penama]] i provens blong [[Vanuatu]].
2|P131|lookup|lookup|[[Torba]] i provens blong [[Vanuatu]].
2|P131|lookup|lookup|[[Shefa]] i provens blong [[Vanuatu]].
3|P131|lookup|South Korea|[[Ulsan]] i bigtaon blong [[saot Koria]].
3|P131|lookup|South Korea|[[Daejeon]] i bigtaon blong [[Saot Koria]].
3|P131|lookup|South Korea|[[Sejong]] i bigtaon blong [[saot Koria]].
3|P131|lookup|South Korea|[[Incheon]] i bigtaon blong [[Saot Koria]].
3|P131|lookup|South Korea|[[Busan]] i bigtaon blong [[saot Koria]].
3|P131|lookup|South Korea|[[Gwangju]] i bigtaon blong [[saot Koria]].
3|P131|lookup|Poland|[[Wrocław]] i wan bigtaon long [[Polan]].
3|P131|lookup|Poland|[[Gryfice]] i wan taon long [[Polan]].
3|P131|lookup|Poland|[[Łobez]] i wan taon long [[Polan]].
3|P131|lookup|Poland|[[Bochotnica]] i wan smol taon long [[Polan]].
3|P131|lookup|Italy|[[Coreca]] i taon long saot blong [[Itali]].
3|P131|lookup|Germany|[[Markdorf]] i taon long saot blong [[Jemani]].
3|P131|lookup|Greece|[[Korin]] i stap taon blong [[Gris]].
3|P131|lookup|France|[[Bry-sur-Marne]] stap taon blong [[Franis]].
4|P30|Rwanda|Africa|[[Rwanda]] i kaontri long [[Afrika]].
4|P30|Georgia|Asia|[[Jojia]] i kaontri long [[Esia]].
4|P30|Mogolia|Asia|[[Mongolia]] i kaontri long [[Esia]].
4|P30|Bangladesh|Asia|[[Banglades]] i kaontri long [[Esia]].
4|P30|Gambia|Africa|[[Gambia]] i kaontri long [[Afrika]].
4|P30|Batswana|Africa|[[Botsuana]] em i wan kaontri long [[Afrika]].
4|P30|Fiji|Pacific|[[Fiji]] hem i wan kaontri long [[Pasifik]].
4|P30|Lebanon|Asia|[[Lebanon]] i kaontri long [[Esia]].
4|P30|Philiphines|Asia|[[Filipin]] i kaontri long [[Esia]].
4|P30|Germany|Europe|[[Jemani]] i kaontri long [[Yurop]].
4|P30|Switzerland|Europe|[[Swiselan]] i kaontri long [[Yurop]].
4|P30|Nepal|Asia|[[Nepal]] i kaontri long [[Esia]].
4|P30|Burkina Faso|Africa|[[Bukina]] Faso i kaontri long [[Afrika]].
4|P30|Yemen|Asia|[[Yemen]] i kaontri long [[Esia]].
4|P30|Namibia|Africa|[[Namibia]] i kaontri long [[Afrika]].
4|P30|Canada|North America|[[Kanada]] i wan kaontri blong [[Not Amerika]].
4|P30|Tuvalu|Pacific|[[Tuvalu]] i kaontri long [[Pasifik]].
4|P30|Soloman Islands|Pacific|[[Solomon Aelan]] i kaontri long [[Pasifik]].
4|P30|Micronesia|Pacific|[[Mikronesia]] hem i wan kaontri long [[Pasifik]].
5|P495|lookup|United States|[[Hoobastank]], hem i miusik grup blong [[Yunaeted Stet blong Amerika]].
5|P495|lookup|Australia|[[Pendulum]], hem i miusik grup blong [[Ostrelia]].
5|P495|lookup|France|[[Justice]], hem i miusik grup blong [[Franis]].
6|P6|lookup|Japan|[[Takeo Fukuda]] (14 Januware 1905 – 5 Julae 1995) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Morihiro Hosokawa]] (boen 14 Januware 1938) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Yoshirō Mori]] (boen 14 Julae 1937) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Yoshihiko Noda]] (boen 20 Mei 1957) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Hitoshi Ashida]] (15 Novemba 1887 – 20 Jun 1959) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Takeo Miki]] (17 Maj 1907 – 14 Novemba 1988) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Junichiro Koizumi]] (boen 8 Januware 1942) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Ryutaro Hashimoto]] (29 Julae 1937 – 1 Julae 2006) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Tarō Asō]] (boen 20 Septemba 1940) i praem minista blong [[Japan]].
6|P6|lookup|Japan|[[Nobusuke Kishi]] (13 Nov 1896 – 7 Ogis 1987) i praem minista blong [[Japan]].
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Jirō Hatoyama]] (boen 1979) i [[politikis]] blong Japan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Yuriko Koike]] (boen 15 Julae 1952) em i [[politikis]] blong Japan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Kunio Hatoyama]] (1948 - 2016) i [[politikis]] blong Japan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Kajang Tularak]] (1913 - 2009) i [[politikis]] blong Taelan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Kaoru Yosano]] (22 Ogis 1938 – 23 Mei 2017) em i [[politikis]] blong Japan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Lindsey Olin Graham]] (boen 9 Julae 1955) i [[politikis]] blong Yunaeted Stet blong Amerika.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Renhō Murata]] (boen 1967) i [[politikis]] blong Japan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Alexander Hamilton]] (1757 - 1804) i [[politikis]] blong Yunaeted Stet blong Amerika.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Somkid Jatusripitak]] (bon long yia 1958) i [[politikis]] blong Taelan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Masayoshi Ito]] (15 Desemba 1913 – 21 Mei 1994) em i [[politikis]] blong Japan.
7|P106|lookup|https://www.wikidata.org/wiki/Q82955|[[Benjamin Franklin]] (1706 - 1790) i [[politikis]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Liu Yifei]] (boen 1987) i [[akta]] blong Jaena.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Momoko Okui]] (boen 7 Maj 1968) i [[akta]] blong Japan.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Momoko Tanabe]] (boen 21 Ogis 1999) em i [[akta]] blong Japan.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[James Maitland Stewart]] (20 Mei 1908 – 2 Julae 1997) i [[akta]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Claudette Colbert]] (13 Septemba 1903 – 30 Julae 1996) i [[akta]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Demi Moore]] (boen 11 Novemba 1962 olsem Demetra Gene Guynes) em i [[akta]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Irwin Keyes]] (16 Maj 1952 – 8 Julae 2015) em i [[akta]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Lauren Bacall]] (16 Septemba 1924 – 12 Ogis 2014) em i [[akta]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Gary Cooper]] (7 Mei 1901 – 13 Mei 1961) em i [[akta]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[William Shatner]] (boen 22 Maj 1931) em i [[akta]] blong Kanada.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Sakura Andō]] (boen 18 Februari 1986) i [[akta]] blong Japan.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Jean-Alfred Villain-Marais]] (1913 - 1998) i [[akta]] blong Franis.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Gérard Philipe]] (1922 - 1959) i [[akta]] blong Franis.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Jackie Chan]] (boen 1954) i [[akta]] blong Hong Kong.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Judy Garland]] (10 Jun 1922 – 22 Jun 1969) em i [[akta]] blong Yunaeted Stet blong Amerika.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[James Montgomery Doohan]] (1920-2005) i [[akta]] blong Kanada.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Benedicta Boccoli]] (bon long Milan long 11 Novemba 1966), em i [[akta]] blong Itali.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Takahiro Miura]] (boen 10 Novemba 1985) i [[akta]] blong Japan.
8|P106|lookup|https://www.wikidata.org/wiki/Q33999|[[Bette Midler]] (boen 1 Desemba 1945) i [[akta]] blong Yunaeted Stet blong Amerika.