Cluster|Property |e1|e2|Sentence
0|P36|Portugal|Lisbon|Di kiapital a [[Puotigal]] niem "[[Lizban]]".
1|P1376|Sofia|Bulgaria|[[Sofiya]] a di kiapital fi [[Bulgieria]].
1|P1376|Brussels|Belgium|[[Broslz]] a di kiapital fi [[Beljiom]].
1|P1376|Rome|Italy|[[Ruom]] a di kyapital fi [[Itali]].
1|P1376|Moscow|Russia|[[Masko]] a di kyapital fi [[Rosha]].
1|P1376|Athens|Greece|[[Atenz]] a di kyapital fi [[Griis]].
1|P1376|Beijing|China|[[Biejing]] a di kiapital fi di [[Piiplz Ripoblik a Chaina]].
1|P1376|https://en.wikipedia.org/wiki/The_Valley,_Anguilla|https://en.wikipedia.org/wiki/Anguilla|[[Di Vali]] a di kiapital fi [[Anggila]].
1|P1376|Mexico City|Mexico|[[Mexiko Siti]] a di kyapital fi [[Mexiko]].
1|P1376|Lisbon|Portugal|[[Lizban]] a di kiapital fi [[Puotigal]].
1|P1376|Berlin|Germany|[[Boerlin]] a di kiapital a [[Joermani]].
1|P1376|London|England|[[Landan]] a di kiapital fi [[Ingglan]] an di Yunaitid Kindom.
1|P1376|Brasilia|Brazil|[[Brazilia]] a di kiapital fi [[Brazil]].
1|P1376|San Marino City|San Marino|[[San Mariino Siti]] a di kiapital ah bigis siti ina [[San Mariino]].
1|P1376|Bogota|Colombia|[[Bogota]] a di kiapital fi [[Kolombia]].
1|P1376|Daaka|Bangladesh|[[Daaka]] a di kiapital ah bigis siti ina [[Banggladesh]].
2|P495|lookup|England|[[Judas Priest]] wehn a rak ban frahn [[Ingglan]].
2|P495|lookup|United States|[[Rhino Bucket]] wehn a rak ban frahn California, [[Yunaitid Stiet]].
2|P495|lookup|Finland|[[Nightwish]] wehn a rak ban frahn [[Finlan]].
2|P495|lookup|Finland|[[Lordi]] wehn a rak ban frahn [[Finlan]].
2|P495|lookup|England|[[Iron Maiden]] wehn a rak ban frahn [[Ingglan]].
3|P30|Fiji|Oceania|[[Fiiji]] a wahn konchri ina [[Uoshania]].
3|P30|Madagascar|Africa|[[Madagiaska]] a wahn konchri ina [[Afrika]].
3|P30|Reunion|Africa|[[Reunioh]] a wahn terichri ina [[Afrika]].
3|P30|South Sudan|Africa|[[Sout Sudan]] a wahn konchri ina [[Afrika]].
3|P30|Botswana|Africa|[[Botswaana]] a wahn konchri ina [[Afrika]].
3|P30|Romenia|Europe|[[Rumienia]] a wah konchri ina [[Yuurop]].
3|P30|Luxembourg|Europe|[[Logzimboerg]] a wah konchri ina [[Yuurop]].
3|P30|Slovakia|Europe|[[Slovakia]] a wah konchri ina senchral [[Yuurop]].
3|P30|Liechtenstein|Europe|[[Liktenstain]] a wahn konchri ina [[Yuurop]].
3|P30|Gabon|Africa|[[Giabon]] a wahn konchri ina [[Afrika]].
3|P30|Zambia|Africa|[[Zambia]] a wahn konchri ina [[Afrika]].
3|P30|Poland|Europe|[[Puolan]] a wah konchri ina senchral [[Yuurop]].
3|P30|Marshal Islands|Oceania|[[Maashal Ailanz]] a wahn konchri ina [[Uoshania]].
3|P30|New Zealand|Oceania|[[Nyuu Ziilant]] a wahn konchri ina [[Uoshania]].
3|P30|Denmark|Europe|[[Denmaak]] a wah konchri ina [[Yuurop]].
3|P30|Slovenia|Eurpe|[[Sloviinia]] a wah konchri ina [[Yuurop]].
3|P30|Angola|Africa|[[Angguola]] a wahn konchri ina [[Afrika]].
3|P30|Sweden|Europe|[[Swiidn]] a wah Naadik konchri ina Nadan [[Yuurop]].
3|P30|Kenya|Europe|[[Kenia]] a wahn konchri ina [[Afrika]].
3|P30|Palau|Oceania|[[Palau]] a wahn konchri ina [[Uoshania]].
3|P30|Bangladesh|Asia|[[Banggladesh]] a wah savrin konchri a [[Ieja]].
3|P30|Kuwait|Asia|[[Kuwiet]] a wah savrin konchri a [[Ieja]].
3|P30|Cambodia|Asia|[[Kambodja]] a wah savrin konchri a [[Ieja]].
3|P30|Nepal|Asia|[[Nepal]] a wah savrin konchri a [[Ieja]].
4|P2936,P17|Kyrgyz|Kyrgyzstan|[[Kiergi]] a di ofishal languij a [[Kiergistan]].
4|P2936,P17|Taipei|Mandarin|Di kiapital a [[Taipei]], ah di ofishal languij a [[Mandarin]].
4|P2936,P17|Warsaw|Polish|Ikiapital a [[Warsaa]], ah di ofishal languij a [[Puolish]].
4|P2936,P17|Paris|French|Ikiapital a [[Paris]], ah di ofishal languij a [[French]].
4|P2936,P17|Moscow|Russian|Di kiapital a [[Masko]], ah di ofishal languij a [[Roshan]].
4|P2936,P17|https://en.wikipedia.org/wiki/Comorian_languages|https://en.wikipedia.org/wiki/Comoro_Islands|[[Shikomor]], di ofishal languij ina [[Komoros]] ah azwel spiik ina Mayot (Shimaore), rilietid tuo Swayili.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Salduero]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Matamala]] de Almazán a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Vadillo]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Fuentecambrón]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Fuentearmegil]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Ágreda]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Adradas]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Cirujales del Río]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Valderrodilla]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Ucero]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[La Losilla]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Valdelagua del Cerro]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Cihuela]] a wahn miunisipaliti luokiet ina di pravins a [[Soria]], Kiastiil ahn León, Spien.
5|P131|lookup|https://en.wikipedia.org/wiki/Province_of_Soria|[[Arancón]] a wahn miunisipaliti luokiet ina di Pravins a [[Soria]], Kiastiil ahn León, Spien.
6|P6|lookup|United States|[[George Walker Bush]] (6 July 1946) wehna 43t Prezident a [[Yunaitid Stiet]] (2001 – 2009).
6|P6|lookup|France|[[Nicolas Sarkozy]] (28 Janiweri 1955 – ) wehna Prezident a [[Frans]] (2007 – 2012).
6|P6|lookup|France|[[Jacques Chirac]] (29 Novemba 1932 – 26 Septemba 2019) wehna Prezident a [[Frans]] (1995 – 2007).
6|P6|lookup|United States|[[Ronald Wilson Reagan]] (6 Febiweri 1911 – 5 Juun 2004) wehna 40t Prezident a [[Yunaitid Stiet]] (1981 – 1989).
7|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[George Walker Bush]] (6 July 1946) wehna 43t [[Prezident]] a Yunaitid Stiet (2001 – 2009).
7|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Nicolas Sarkozy]] (28 Janiweri 1955 – ) wehna [[Prezident]] a Frans (2007 – 2012).
7|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Jacques Chirac]] (29 Novemba 1932 – 26 Septemba 2019) wehna [[Prezident]] a Frans (1995 – 2007).
7|P106|lookup|https://www.wikidata.org/wiki/Q30461|[[Ronald Wilson Reagan]] (6 Febiweri 1911 – 5 Juun 2004) wehna 40t [[Prezident]] a Yunaitid Stiet (1981 – 1989).
8|P106|https://en.wikipedia.org/wiki/Sean_Paul|https://www.wikidata.org/wiki/Q177220|[[Sean Paul]] a wah Jumiekan rappa, [[singa]] an DJ fram Kinston.
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Matheus Rocha da Silva]] (10 junho 1981) wehna Brazil [[singa]].
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Luciana Andrade]] (18 setembro 1978) wehna Brazil [[singa]].
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Natalie Dessay]] a wah [[singa]] fram Frans.
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Cher Lloyd]] a waah British [[singa]].
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Leonard Norman Cohen]] (21 September 1934 – 7 November 2016) wehna Kianadan [[singa]].
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Fantine Rodrigues Thó]] (15 fevereiro 1979) wehna Brazil [[singa]].
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Harris Lilis Crosby]] (1903-1977) wehna Morkan [[singa]].
8|P106|lookup|https://www.wikidata.org/wiki/Q177220|[[Anna Netrebko]] a wah [[singa]] fram Rosha.
8|P106|https://www.wikidata.org/wiki/Q1357035|https://www.wikidata.org/wiki/Q177220|[[Vybz Kartel]] (ril niem Adidjah Azim Palmer) a wah Jumiekan rappa, [[singa]] an DJ fram Portmore, Jumieka.
8|P106|https://www.wikidata.org/wiki/Q383541|https://www.wikidata.org/wiki/Q177220|[[Basshunter]], Jonas Erik Altberg (baan 22 Disemba 1984 a Halmstad) a wah [[singa]] an DJ fram Swiidn.
9|P131|Leicester|England|[[Lesta]] a wah siti ina [[Ingglan]], Yunaitid Kindom.
9|P131|Derby|England|[[Daabi]] a wah siti ina [[Ingglan]], Yunaitid Kindom.
9|P131|Hanover|Germany|[[Anuova]] (Joerman pronongxieshan: [haˈnoːfɐ]) a wah siti ina [[Joermani]].
9|P131|New Castle|England|[[Nyuukasl]] apan Tain a wah siti ina [[Ingglan]], Yunaitid Kindom.
10|P31|Uranium|https://www.wikidata.org/wiki/Q11344|[[Yuurieniom]] a wah [[kimikal eliment]] wid simbal U ah atamik nomba 92.
10|P31|Iron|https://www.wikidata.org/wiki/Q11344|[[Ayan]] a wah [[kimikal eliment]] wid simbal Fe (frah Latn: ferrum) ah atamik nomba 26.
10|P31|Copper|https://www.wikidata.org/wiki/Q11344|[[Kapa]] a wah [[kimikal eliment]] wid simbal Cu (frah Latn: cuprum) ah atamik nomba 29.
10|P31|Carbon|https://www.wikidata.org/wiki/Q11344|[[Kaaban]] (frah Latn: "carbo" "kuol") a wah [[kimikal eliment]] wid simbal C ah atamik nomba 6.
10|P31|Silver|https://www.wikidata.org/wiki/Q11344|[[Silva]] a di [[kimikal eliment]] wid di hatamik nomba 47.
10|P31|Helium|https://www.wikidata.org/wiki/Q11344|[[Iiliom]] a wah [[kimikal eliment]] wid simbal He ah atamik nomba 2.
10|P31|Sulfur|https://www.wikidata.org/wiki/Q11344|[[Solfa]] a di [[kimikal eliment]] wid simbal S ah atamik nomba 16.
10|P31|Nitrogen|https://www.wikidata.org/wiki/Q11344|[[Naichojen]] a wah [[kimikal eliment]] wid simbal N ah atamik nomba 7.
10|P31|Oxygen|https://www.wikidata.org/wiki/Q11344|[[Axijen]] a wah [[kimikal eliment]] wid simbal O ah atamik nomba 8.
10|P31|Hydrogen|https://www.wikidata.org/wiki/Q11344|[[Aijrojin]] a wah [[kimikal eliment]] wid kimikal simbal H ah atamik nomba 1.
10|P31|Gold|https://www.wikidata.org/wiki/Q11344|[[Guol]] a [[kimikal eliment]] wid di simbal Au (frah Latn: aurum) ah di "h"atamik nomba 79.
10|P31|Aluminum|https://www.wikidata.org/wiki/Q11344|[[Aluuminom]] a wah [[kimikal eliment]] ina di [[buoran]] gruup wid simbal Al ah atamik nomba 13.