Property,e1,e2,Sentence
P131,Q849801,Q691,[[Sauten Hailans]] em i wanpela provins long [[Papua Niugini]].
P131,Q13991,Q17,[[Shikoku]] (o Sikoku) em i bikpela ailan long [[Siapan]].
P131,Q13987,Q17,[[Kyushu]] (o Kiusiu) em i bikpela ailan long [[Siapan]].
P131,Q849790,Q691,[[Westen Provins]] em i wanpela provins bilong [[Papua Niugini]].
P131,Q753686,Q691,[[Oro]] em i wanpela provins long [[Papua Niugini]].
P131,Q667468,Q691,[[Wes Niu Briten]] em i wanpela provins long [[Papua Niugini]].
P131,Q849812,Q691,[[Isten Hailans]] em i wanpela provins long [[Papua Niugini]].
P131,Q599448,Q691,[[Simbu]] em i wanpela provins long hailans bilong [[Papua Niugini]].
P131,Q690880,Q691,[[Is Sepik]] em i wanpela provins long [[Papua Niugini]].
P131,Q753689,Q691,[[Sandaun]] em i wanpela provins long [[Papua Niugini]].
P131,Q874962,Q691,[[Milen Be]] em i wanpela provins long [[Papua Niugini]].
P131,Q853664,Q691,[[Morobe]] em i wanpela provins long [[Papua Niugini]].
P1376,Q1754,Q34,[[Stockholm]] i kapitol bilong [[Suwidan]].
P1376,Q216,Q37,[[Vilnius]] i kapitol bilong [[Lituwenia]].
P1376,Q1780,Q214,[[Bratislava]] em i kapitol bilong kantri [[Slovakia]].
P1376,Q585,Q20,[[Oslo]] i kapitol bilong [[Nowe]].
P1376,Q19660,Q218,[[Busares]] i kapitol bilong [[Romenia]].
P1376,Q1530,Q796,[[Bagdad]] em i kapitol bilong [[Irak]].
P1376,Q1781,Q28,[[Budapest]] em i kapitol bilong [[Hangari]].
P1376,Q649,Q159,[[Mosko]] o Moskva em i kapitol bilong [[Rasia]].
P1376,Q2807,Q29,[[Madrid]] i kapitol bilong [[Spen]].
P1376,Q1770,Q191,[[Talin]] i kapitol bilong [[Estonia]].
P1376,Q239,Q31,[[Brussels]] emi kapitol bilong kantri [[Beljiam]].
P1376,Q37806,Q686,[[Port Vila]] i kapitol bilong [[Vanuatu]].
P17,Q849790,Q691,[[Westen Provins]] em i wanpela provins bilong [[Papua Niugini]].
P17,Q753686,Q691,[[Oro]] em i wanpela provins long [[Papua Niugini]].
P17,Q753689,Q691,[[Sandaun]] em i wanpela provins long [[Papua Niugini]].
P17,Q853664,Q691,[[Morobe]] em i wanpela provins long [[Papua Niugini]].
P17,Q874962,Q691,[[Milen Be]] em i wanpela provins long [[Papua Niugini]].
P17,Q849801,Q691,[[Sauten Hailans]] em i wanpela provins long [[Papua Niugini]].
P17,Q690880,Q691,[[Is Sepik]] em i wanpela provins long [[Papua Niugini]].
P17,Q599448,Q691,[[Simbu]] em i wanpela provins long hailans bilong [[Papua Niugini]].
P17,Q849812,Q691,[[Isten Hailans]] em i wanpela provins long [[Papua Niugini]].
P17,Q667468,Q691,[[Wes Niu Briten]] em i wanpela provins long [[Papua Niugini]].
P17,Q37420,Q408,[[.au]] em i Intanet kod bilong kantri [[Ostrelia]].
P17,Q42677,Q218,[[.ro]] em i Intanet kod bilong kantri [[Romenia]].
P17,Q38291,Q222,[[.al]] em i Intanet kod bilong kantri [[Albenia]].
P17,Q41060,Q20,[[.no]] em i Intanet kod bilong kantri [[Nowe]].
P17,Q36541,Q159,[[.ru]] em i Intanet kod bilong kantri [[Rasia]].
P17,Q43829,Q685,[[.sb]] em i Intanet kod bilong kantri [[Solomon Ailans]].
P17,Q1247596,Q691,[[Takuu]] emi wanpela ailan long [[Papua Niugini]].
P17,Q370746,Q881,[[Con Dao]] em i bikpela ailan long [[Vietnam]].
P17,Q753702,Q691,[[Is Niu Briten]] em i wanpela provins long [[Papua Niugini]].
P17,Q13989,Q17,[[Honshu]] em i bikpela ailan long [[Siapan]].
P17,Q3183,Q408,"[[Pet]] stap wanpela biktaun bilong Wes Ostrelia, [[Ostrelia]]."
P17,Q207756,Q664,[[Toranga]] stap wanpela biktaun long [[Niu Silan]].
P17,Q331764,Q408,"[[Olbri]] stap wanpela biktaun bilong Niu Saut Wels, [[Ostrelia]]."
P17,Q187861,Q408,"[[Wulongong]] stap wanpela biktaun bilong Niu Saut Wels, [[Ostrelia]]."
P17,Q146695,Q881,[[Phu Quoc]] em i bikpela ailan long [[Vietnam]].
P17,Q37100,Q664,[[Oklan]] em wanpela biktaun bilong [[Niu Silan]].
P17,Q5112,Q408,"[[Adalet]] stap wanpela biktaun bilong Saut Ostrelia, [[Ostrelia]]."
P17,Q231765,Q408,"[[Sielong]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]]."
P17,Q17856,Q408,"[[Balarat]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]]."
P17,Q3141,Q408,"[[Melben]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]]."
P17,Q34932,Q408,"[[Brisbin]] stap wanpela biktaun bilong Kwinslan, [[Ostrelia]]."
P17,Q339527,Q408,"[[Lonseston]] stap wanpela biktaun bilong Tasmenia, [[Ostrelia]]."
P17,Q497793,Q408,"[[Bendago]] stap wanpela biktaun bilong Viktoria, [[Ostrelia]]."
P17,Q23520,Q159,[[Paltoga]] em i nambawan siti saut [[Rasia]].
P17,Q23495,Q212,[[Moshchena]] em i nambawan siti saut [[Yukren]].
P17,Q8678,Q155,[[Rio de Janeiro]] em i nambawan siti [[Brasil]].
P17,Q4035,Q155,[[Osasku]] em i nambawan siti saut [[Brasil]].
P17,Q48278,Q739,[[Medellín]] em i nambawan siti saut [[Kolambia]].
P17,Q35581,Q17,[[Hokkaido]] em i bikpela ailan long [[Siapan]].
P17,Q11568,Q408,"[[Dawin]] stap wanpela biktaun bilong Noten Teritori, [[Ostrelia]]."
P17,Q580366,Q155,[[Araras]] em i nambawan siti [[Brasil]].
P30,Q41,Q46,[[Gris]] emi wanpela kantri bilong [[Yurop]].
P30,Q96,Q49,[[Meksiko]] i wanpela kantri bilong [[Not Amerika]].
P30,Q142,Q46,[[Frens]] em i kantri bilong [[Yurop]].
P30,Q1041,Q15,[[Senegal]] em i kantri bilong kontinen [[Aprika]].
P30,Q28,Q46,[[Hangari]] em i kantri bilong sentrel [[Yurop]].
P30,Q148,Q48,[[China]] istap tupela kantri bilong [[Esia]].
P30,Q32,Q46,[[Laksembog]] em i kantri bilong [[Yurop]].
P30,Q842,Q48,[[Oman]] em i wanpela kantri long [[Esia]].
P30,Q1000,Q15,[[Gabon]] em i wanpela kantri bilong [[Aprika]].
P30,Q794,Q48,[[Iran]] em i wanpela kantri long [[Esia]].
P30,Q805,Q48,[[Yemen]] em i kantri bilong kontinen [[Esia]].
P30,Q79,Q15,[[Ijip]] em i kantri bilong kontinen [[Aprika]].
P30,Q881,Q48,[[Vietnam]] em i kantri bilong [[Esia]].
P30,Q45,Q46,[[Potugal]] em i kantri bilong [[Yurop]].
P30,Q334,Q48,[[Singapo]] i stap wanpela kantri long [[Esia]].
P30,Q678,Q538,[[Tonga]] emi wanpela kantri long [[Osenia]].
P30,Q884,Q48,[[Saut Koria]] o Korea i kantri bilong [[Esia]].
P36,Q423,Q18808,Kapitol bilong [[Not Korea]] emi [[Pyongyang]].
P36,Q214,Q1780,Kapitol bilong [[Slovakia]] i [[Bratislava]].
P36,Q189,Q1764,Kapitol bilong [[Aislan]] em i [[Reykjavik]].
P36,Q32,Q1842,Kapitol bilong [[Laksembog]] emi [[Luxembourg]].
P36,Q28,Q1781,Kapitol bilong [[Hangari]] ol i kolim [[Budapest]].
P36,Q1044,Q3780,Kapitol bilong [[Sierra Leone]] i [[Freetown]].
P36,Q40,Q1741,Kapitol bilong [[Ostria]] ol i kolim [[Vienna]].
P361,Q804,Q27611,[[Panama]] emi wanpela kantri bilong [[Sentrel Amerika]].
P39,Q57641,Q3315094,[[Viktor Orbán]] i [[praim minista bilong Hangari]].
P39,Q16986436,Q738695,[[Sanna Marin]] (Novemba 16 1985) i [[praim minista bilong Pinlan]].
P39,Q10648,Q14211,[[Gordon Brown]] i [[praim minista bilong Yunaitet Kingdom]].
P39,Q180383,Q1071117,[[Helen Clark]] i [[praim minista bilong Niu Silan]].
P39,Q316267,Q592866,[[Apisai Ielemia]] i [[praim minista bilong Tuvalu]].
P39,Q43135,Q319145,[[Kevin Rudd]] i [[praim minista bilong Ostrelia]].
P39,Q561213,Q1344632,[[Xavier Bettel]] i [[praim minista bilong Laksembog]].
P39,Q57892,Q1074656,[[Peter O'Neill]] i [[praim minista bilong Papua Niugini]].
P39,Q57467,Q520765,[[János Áder]] i [[presiden bilong Hangari]].
P39,Q29213,Q29558,[[Tarja Halonen]] (Desemba 24 1943) em i [[presiden bilong Pinlan]].
P39,Q29207,Q29558,[[Sauli Niinistö]] (Ogas 24 1948) em i [[presiden bilong kantri Pinlan]].
P39,Q76,Q11696,[[Barack Hussein Obama II]] i [[presiden bilong Ol Yunaitet Stet]].
P39,Q274174,Q628102,[[Marcus Stephen]] i [[presiden bilong Nauru]].
P39,Q329,Q191954,[[Nicolas Sarkozy]] i [[presiden bilong Frens]].
P39,Q57371,Q205602,[[Ilham Aliyev]] i [[presiden bilong Azerbaijan]].
P39,Q1124,Q11696,[[William Jefferson (Bill) Clinton]] i [[presiden bilong Amerika]].
P39,Q41117,Q11700396,[[Kim Il-sung]] (15 Epril 1912 – 8 Julai 1994) i [[presiden bilong Not Koria]].
P39,Q57289,Q890005,[[Toomas Hendrik Ilves]] i [[presiden bilong Estonia]].
P39,Q469851,Q1029958,[[Ham Lini]] i [[praim minista bilong Vanuatu]].
